ID, Start Lat, Start Lon, End Lat, End Lon, num of paths, num of overlaps
34,40.71624016127527,-73.99607224008602,40.71558320631645,-73.99574478706147,94,104463
35,40.71558320631645,-73.99574478706147,40.714353487961446,-73.99472834158081,97,109028
36,40.714353487961446,-73.99472834158081,40.69971495940644,-73.98654555499283,97,109028
37,40.69971495940644,-73.98654555499283,40.699408554272544,-73.98637735813209,97,109028
38,40.699408554272544,-73.98637735813209,40.69801883469564,-73.98564179954623,88,86417
39,40.69801883469564,-73.98564179954623,40.697328352123385,-73.98524505612056,68,64309
40,40.697328352123385,-73.98524505612056,40.697220318702314,-73.98519085314551,68,64309
41,40.697220318702314,-73.98519085314551,40.696776077824296,-73.98499639298758,72,68306
42,40.696776077824296,-73.98499639298758,40.69672336496539,-73.9849701296904,72,68201
43,40.69672336496539,-73.9849701296904,40.69612992620758,-73.9846745278986,71,67300
44,40.69612992620758,-73.9846745278986,40.69594049519168,-73.98456481809687,71,67196
45,40.69594049519168,-73.98456481809687,40.695933789668985,-73.98434632981598,12,10531
46,40.695933789668985,-73.98434632981598,40.6959270841463,-73.98419024014898,8,6519
47,40.6959270841463,-73.98419024014898,40.695923545120436,-73.98410828376058,8,6467
48,40.695923545120436,-73.98410828376058,40.69590361481689,-73.98335652016155,8,6488
49,40.69590361481689,-73.98335652016155,40.69589951699748,-73.98320024423003,8,6436
50,40.69589951699748,-73.98320024423003,40.695895791707095,-73.98307898602812,7,6298
51,40.695895791707095,-73.98307898602812,40.69587455755192,-73.9824063848497,7,6298
52,40.69587455755192,-73.9824063848497,40.69587399875836,-73.98233206530658,7,9548
53,40.69587399875836,-73.98233206530658,40.6959680623405,-73.98101927297606,3,1768
54,40.6959680623405,-73.98101927297606,40.69618394291812,-73.9803639943979,3,1768
55,40.69618394291812,-73.9803639943979,40.696169973079186,-73.98007733330303,3,1507
56,40.696169973079186,-73.98007733330303,40.696134210291525,-73.97858591329872,3,1507
57,40.696134210291525,-73.97858591329872,40.6961310437947,-73.97834954362399,3,1507
58,40.6961310437947,-73.97834954362399,40.69610329038136,-73.97733496078853,3,1507
59,40.69610329038136,-73.97733496078853,40.696048714877264,-73.97638296283148,3,1507
60,40.696048714877264,-73.97638296283148,40.695959307908105,-73.97426662536562,3,1507
61,40.695959307908105,-73.97426662536562,40.695959307908105,-73.97426662536562,3,1262
62,40.695959307908105,-73.97426662536562,40.69625938004835,-73.9744441354523,2,119
63,40.69625938004835,-73.9744441354523,40.69629383898438,-73.97543785666163,7,7579
64,40.76296685106233,-73.973967857077,40.762292946032275,-73.97445698770412,127,38938
65,40.762292946032275,-73.97445698770412,40.76166691098363,-73.97491482589203,130,41288
66,40.76166691098363,-73.97491482589203,40.761039944612385,-73.97537285034447,127,49444
67,40.761039944612385,-73.97537285034447,40.76041782111864,-73.9758308747969,137,58821
68,40.76041782111864,-73.9758308747969,40.76041782111864,-73.9758308747969,76,37636
69,40.76041782111864,-73.9758308747969,40.75978694319249,-73.97628889924934,120,52875
70,40.75978694319249,-73.97628889924934,40.75916481969874,-73.97674394346946,109,49843
71,40.75916481969874,-73.97674394346946,40.758537853327496,-73.97720085033478,149,58051
72,40.758537853327496,-73.97720085033478,40.75791181827884,-73.97765496323231,160,61842
73,40.75791181827884,-73.97765496323231,40.757283920585,-73.97811596791705,131,55079
74,40.757283920585,-73.97811596791705,40.75665416024597,-73.9785654242016,152,66496
